legacy_batch_source,new_stage_batch,source_file,legacy_table_name,record_key,legacy_dedupe_key,target_schema,target_table,migration_priority,payload_kind,title_or_key,planned_batch08_action
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الوقف على المساجد - الفضل والأحكام,b8539f818cbbda9d,assistant,knowledge_documents,P1,legacy_sql_insert_row,الوقف على المساجد - الفضل والأحكام,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأوقاف والشؤون الدينية رقم (26) لسنة 1966م وتعديلاته,e0414baf02cfa217,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف والشؤون الدينية رقم (26) لسنة 1966م وتعديلاته,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قانون الأراضي العثماني 1858,498d97e8fc0e4712,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأراضي العثماني 1858,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,مجلة الأحكام العدلية - كتاب الوقف,ac1581e427d344ae,assistant,knowledge_documents,P1,legacy_sql_insert_row,مجلة الأحكام العدلية - كتاب الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,المبسوط للسرخسي - كتاب الوقف,b6949ae51acf1508,assistant,knowledge_documents,P1,legacy_sql_insert_row,المبسوط للسرخسي - كتاب الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,فتح القدير لابن الهمام - كتاب الوقف,cb99a94a0a375eeb,assistant,knowledge_documents,P1,legacy_sql_insert_row,فتح القدير لابن الهمام - كتاب الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,فتاوى الوقف - سليمان الجاسر,6eb6bf000af573c2,assistant,knowledge_documents,P1,legacy_sql_insert_row,فتاوى الوقف - سليمان الجاسر,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,مجموع فتاوى ابن تيمية - كتاب الوقف,c84f364460fd568c,assistant,knowledge_documents,P1,legacy_sql_insert_row,مجموع فتاوى ابن تيمية - كتاب الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,تعليمات لجان رعاية المساجد رقم (2) لسنة 2023م,3a74c7889ff9c455,assistant,knowledge_documents,P1,legacy_sql_insert_row,تعليمات لجان رعاية المساجد رقم (2) لسنة 2023م,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,قرار بقانون رقم (2) لسنة 2023م بشأن تعديل قانون الأوقاف,47a98d16e45d48b3,assistant,knowledge_documents,P1,legacy_sql_insert_row,قرار بقانون رقم (2) لسنة 2023م بشأن تعديل قانون الأوقاف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,مهام وزارة الأوقاف والشؤون الدينية الفلسطينية,259f9c631fcb7408,assistant,knowledge_documents,P1,legacy_sql_insert_row,مهام وزارة الأوقاف والشؤون الدينية الفلسطينية,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,نظام الوقف الذري في فلسطين,dfc59948a750e026,assistant,knowledge_documents,P1,legacy_sql_insert_row,نظام الوقف الذري في فلسطين,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,تاريخ إدارة الأوقاف في فلسطين,c97adf790818f5f3,assistant,knowledge_documents,P1,legacy_sql_insert_row,تاريخ إدارة الأوقاف في فلسطين,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الوقف على المسجد الأقصى,42be1031dad7f1ca,assistant,knowledge_documents,P1,legacy_sql_insert_row,الوقف على المسجد الأقصى,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,حجة وقف مصطفى آغا (1821م),15bd9a4dcebff9c6,assistant,knowledge_documents,P1,legacy_sql_insert_row,حجة وقف مصطفى آغا (1821م),stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الحجج الوقفية في سجلات محكمة القدس الشرعية (القرن 11 هـ),13484212460d91ad,assistant,knowledge_documents,P1,legacy_sql_insert_row,الحجج الوقفية في سجلات محكمة القدس الشرعية (القرن 11 هـ),stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,أرشيفات القدس الإسلامية - مصادر لمسألة الوقف,f13a30c77e644706,assistant,knowledge_documents,P1,legacy_sql_insert_row,أرشيفات القدس الإسلامية - مصادر لمسألة الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,أقدم وقف موثق في العالم (القرن 9 الميلادي),b8b60832b0983d93,assistant,knowledge_documents,P1,legacy_sql_insert_row,أقدم وقف موثق في العالم (القرن 9 الميلادي),stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,إدارة الأوقاف في عهد الانتداب البريطاني,79af57f5302180fd,assistant,knowledge_documents,P1,legacy_sql_insert_row,إدارة الأوقاف في عهد الانتداب البريطاني,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الإشراف المعاصر على العقارات الوقفية,100996059623efac,assistant,knowledge_documents,P1,legacy_sql_insert_row,الإشراف المعاصر على العقارات الوقفية,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/clean-import.sql,knowledge_documents,قانون الأراضي العثماني - المادة 1: تعريف الأراضي,15c98e68d8761098,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأراضي العثماني - المادة 1: تعريف الأراضي,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/clean-import.sql,knowledge_documents,قانون الأراضي العثماني - المادة 3: الأراضي الأميرية,3b77558a1ac06056,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأراضي العثماني - المادة 3: الأراضي الأميرية,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/clean-import.sql,knowledge_documents,قانون الأراضي العثماني - المادة 12: وقف الأراضي الأميرية,a1aafc3dad605524,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأراضي العثماني - المادة 12: وقف الأراضي الأميرية,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/clean-import.sql,knowledge_documents,مجلة الأحكام العدلية - المادة 1: تعريف الوقف,12b71bb6efc984bd,assistant,knowledge_documents,P1,legacy_sql_insert_row,مجلة الأحكام العدلية - المادة 1: تعريف الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/clean-import.sql,knowledge_documents,مجلة الأحكام العدلية - المادة 5: شروط صحة الوقف,1f8ced3ded3c5f62,assistant,knowledge_documents,P1,legacy_sql_insert_row,مجلة الأحكام العدلية - المادة 5: شروط صحة الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/clean-import.sql,knowledge_documents,قانون الأوقاف الأردني رقم 23 لسنة 1964 - المادة 1: التعاريف,34c80bcfa2e4a677,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف الأردني رقم 23 لسنة 1964 - المادة 1: التعاريف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/clean-import.sql,knowledge_documents,قانون الأوقاف الأردني - المادة 10: إدارة الأوقاف,e8931f418877f3d6,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأوقاف الأردني - المادة 10: إدارة الأوقاف,stage_all_then_promote_p1_knowledge
